psi_g_formula_version,ansatz,group,regime,n,L,T,n_params,H_G,D_G,D_inter,D_mult,M_G,S_G,defect,Psi_raw,Psi_G,seed
v12_gated,HEA,U(1),B_multi,4,2,40,24,0.8379233765751957,0.639760849441706,0.30820485596495806,0.9713168429184538,0.05975293182482122,0.7604375567909473,0.0912870929175109,0.756049397479744,0.5749283566327643,0
v12_gated,U1_equiv,U(1),B_multi,4,2,40,24,0.6361029135744235,0.5818055547992435,0.21274380150677982,0.950867308091707,0.0025947624875046218,1.0,0.0,0.6166862040085267,0.6166862040085267,0
v12_gated,SU2_equiv,SU(2),B_multi,4,2,40,8,0.4559117894238973,0.6616232382605332,0.3232464765210662,1.0,0.0007765624231633667,1.0,0.0,0.527822285525734,0.527822285525734,0
v12_gated,Sn_equiv,S_n,B_multi,4,2,40,4,0.9708684549093194,0.5779495897236944,0.27951086075004666,0.8763883186973421,0.17649953624769923,1.0,0.0,0.7905073940820968,0.7905073940820968,0
v12_gated,U1_broken,U(1),B_multi,4,2,40,24,0.6803007225671804,0.5941708240469846,0.2358593156437033,0.952482332450266,0.08060061894503029,0.9210312852074289,0.02742042485534894,0.6364470932581954,0.586187684270128,0
v12_gated,HEA,U(1),B_multi,6,2,40,36,0.8547373319103244,0.6069866524012398,0.21397330480247972,1.0,0.04048441445514841,0.9098358155223052,0.03149703941743346,0.7593737089833085,0.6909053977990262,0
v12_gated,U1_equiv,U(1),B_multi,6,2,40,36,0.6348819291190607,0.5687897653277065,0.13757953065541306,1.0,2.974087322888419e-05,1.0,0.0,0.6117449513063444,0.6117449513063444,0
v12_gated,SU2_equiv,SU(2),B_multi,6,2,40,12,0.47375634419644186,0.6109362638326526,0.22187252766530524,1.0,4.562589194340155e-05,1.0,0.0,0.5217639121801737,0.5217639121801737,0
v12_gated,Sn_equiv,S_n,B_multi,6,2,40,4,0.970771859939987,0.5949527291916633,0.18990545838332668,1.0,0.16016124195434703,1.0,0.0,0.8003651574924939,0.8003651574924939,0
v12_gated,U1_broken,U(1),B_multi,6,2,40,36,0.7048722312729288,0.5810776457960524,0.1621552915921047,1.0,0.05382116854420716,0.9720161725610506,0.009460945407606792,0.6520598645656541,0.6338127338357841,0
v12_gated,HEA,U(1),B_multi,8,2,40,48,0.7781807322845232,0.5728895542162629,0.14577910843252573,1.0,0.0473424013908237,0.9645588891638917,0.012028130608116876,0.6971185838150273,0.6724119268201281,0
v12_gated,U1_equiv,U(1),B_multi,8,2,40,48,0.6320197537821396,0.5494925095901887,0.09898501918037747,1.0,1.0884506277253878e-06,1.0,0.0,0.6031350463343823,0.6031350463343823,0
v12_gated,SU2_equiv,SU(2),B_multi,8,2,40,16,0.48673634807230914,0.5824385619056818,0.1648771238113635,1.0,3.741116926697347e-07,1.0,0.0,0.5202320773905498,0.5202320773905498,0
v12_gated,Sn_equiv,S_n,B_multi,8,2,40,4,0.9648477529702002,0.570405320790137,0.14081064158027395,1.0,0.15169802330809057,1.0,0.0,0.7902015274774701,0.7902015274774701,0
v12_gated,U1_broken,U(1),B_multi,8,2,40,48,0.6842517917553922,0.5562259752571908,0.1124519505143815,1.0,0.042131666874987185,0.9892196543289463,0.003612958206350399,0.6322355888438089,0.6254198706505305,0
v12_gated,HEA,U(1),B_multi,4,2,40,24,0.8608176663796532,0.6404335497204179,0.3233395129783735,0.9575275864624624,0.07215110402685575,0.7604375567909473,0.0912870929175109,0.7681559893001425,0.5841346637377334,1
v12_gated,U1_equiv,U(1),B_multi,4,2,40,24,0.6361029135744235,0.5857061350581582,0.21274380150677982,0.9586684686095366,0.002594762487504638,1.0,0.0,0.6180514070991467,0.6180514070991467,1
v12_gated,SU2_equiv,SU(2),B_multi,4,2,40,8,0.4559117894238973,0.6616232382605332,0.3232464765210662,1.0,0.000776562423163457,1.0,0.0,0.5278222855257338,0.5278222855257338,1
v12_gated,Sn_equiv,S_n,B_multi,4,2,40,4,0.9901841104477158,0.6024287174871952,0.28718107937863013,0.9176763555957603,0.10987944671202232,1.0,0.0,0.8272695023617759,0.8272695023617759,1
v12_gated,U1_broken,U(1),B_multi,4,2,40,24,0.7146459839874931,0.589744137719868,0.24837170097432376,0.9311165744654122,0.08767470679018508,0.9210312852074289,0.02742042485534894,0.6552662435176027,0.6035207104200617,1
v12_gated,HEA,U(1),B_multi,6,2,40,36,0.8213425440934399,0.6058628870677658,0.21172577413553154,1.0,0.033161885582476125,0.9098358155223052,0.03149703941743346,0.7391153472666423,0.6724736147453974,1
v12_gated,U1_equiv,U(1),B_multi,6,2,40,36,0.6348819291190607,0.5687897653277065,0.13757953065541306,1.0,2.974087322894714e-05,1.0,0.0,0.6117449513063444,0.6117449513063444,1
v12_gated,SU2_equiv,SU(2),B_multi,6,2,40,12,0.4737563441964418,0.6109362638326526,0.22187252766530524,1.0,4.5625891943501315e-05,1.0,0.0,0.5217639121801736,0.5217639121801736,1
v12_gated,Sn_equiv,S_n,B_multi,6,2,40,4,0.9866420166141591,0.5971508337347575,0.19430166746951513,1.0,0.09705415273905338,1.0,0.0,0.826380676361559,0.826380676361559,1
v12_gated,U1_broken,U(1),B_multi,6,2,40,36,0.7167660000018735,0.5809629466767958,0.16192589335359156,1.0,0.06130694397201874,0.9720161725610506,0.009460945407606792,0.6582492480873057,0.6398289147170123,1
v12_gated,HEA,U(1),B_multi,8,2,40,48,0.7906925841180708,0.5770519544989916,0.1541039089979832,1.0,0.038154677668293564,0.9645588891638917,0.012028130608116876,0.7083762085809593,0.6832705688589793,1
v12_gated,U1_equiv,U(1),B_multi,8,2,40,48,0.6320197537821396,0.5494925095901887,0.09898501918037747,1.0,1.0884506276708194e-06,1.0,0.0,0.6031350463343823,0.6031350463343823,1
v12_gated,SU2_equiv,SU(2),B_multi,8,2,40,16,0.48673634807230926,0.5824385619056818,0.16487712381136346,1.0,3.7411169270489087e-07,1.0,0.0,0.5202320773905499,0.5202320773905499,1
v12_gated,Sn_equiv,S_n,B_multi,8,2,40,4,0.9760380733640832,0.5722562549356511,0.1445125098713022,1.0,0.11822155459034991,1.0,0.0,0.8058672523210141,0.8058672523210141,1
v12_gated,U1_broken,U(1),B_multi,8,2,40,48,0.7047814021175628,0.5601005949114596,0.12020118982291912,1.0,0.02584436360373352,0.9892196543289463,0.003612958206350399,0.6495894628910578,0.6425866639368181,1
v12_gated,HEA,U(1),B_multi,4,2,40,24,0.8510855040202046,0.6201494909874364,0.3120929302985977,0.9282060516762751,0.08232788348815638,0.7604375567909473,0.0912870929175109,0.7527408824053772,0.5724124375130067,2
v12_gated,U1_equiv,U(1),B_multi,4,2,40,24,0.6361029135744235,0.5553966030389833,0.21274380150677982,0.8980494045711869,0.002594762487504663,1.0,0.0,0.6074430708924357,0.6074430708924357,2
v12_gated,SU2_equiv,SU(2),B_multi,4,2,40,8,0.45591178942389743,0.6616232382605332,0.3232464765210662,1.0,0.0007765624231632561,1.0,0.0,0.527822285525734,0.527822285525734,2
v12_gated,Sn_equiv,S_n,B_multi,4,2,40,4,0.9055766171917013,0.6373543100294321,0.2919679565691914,0.9827406634896729,0.19931060128677974,1.0,0.0,0.7665760546639756,0.7665760546639756,2
v12_gated,U1_broken,U(1),B_multi,4,2,40,24,0.7006250818944357,0.5751997012970338,0.23692386902556914,0.9134755335684985,0.06268676101354727,0.9210312852074289,0.02742042485534894,0.6457462194181417,0.5947524703885294,2
v12_gated,HEA,U(1),B_multi,6,2,40,36,0.7898209531612344,0.6001381198942765,0.200276239788553,1.0,0.05746610444472973,0.9098358155223052,0.03149703941743346,0.7120849781710492,0.6478804168354394,2
v12_gated,U1_equiv,U(1),B_multi,6,2,40,36,0.6348819291190607,0.5687897653277065,0.13757953065541303,1.0,2.974087322892812e-05,1.0,0.0,0.6117449513063444,0.6117449513063444,2
v12_gated,SU2_equiv,SU(2),B_multi,6,2,40,12,0.47375634419644186,0.6109362638326526,0.22187252766530524,1.0,4.562589194343492e-05,1.0,0.0,0.5217639121801737,0.5217639121801737,2
v12_gated,Sn_equiv,S_n,B_multi,6,2,40,4,0.8998606369974682,0.5990446090653884,0.19808921813077668,1.0,0.15427732298167374,1.0,0.0,0.759868004688102,0.759868004688102,2
v12_gated,U1_broken,U(1),B_multi,6,2,40,36,0.6735690252647644,0.577149839425915,0.15429967885183005,1.0,0.07064186701289764,0.9720161725610506,0.009460945407606792,0.627926766844477,0.6103549725568037,2
