psi_g_formula_version,ansatz,group,n,n_seeds,H_G_mean,H_G_std,H_G_ci_lo,H_G_ci_hi,D_G_mean,D_G_std,D_G_ci_lo,D_G_ci_hi,D_inter_mean,D_inter_std,D_inter_ci_lo,D_inter_ci_hi,D_mult_mean,D_mult_std,D_mult_ci_lo,D_mult_ci_hi,M_G_mean,M_G_std,M_G_ci_lo,M_G_ci_hi,S_G_mean,S_G_std,S_G_ci_lo,S_G_ci_hi,defect_mean,defect_std,defect_ci_lo,defect_ci_hi,Psi_G_mean,Psi_G_std,Psi_G_ci_lo,Psi_G_ci_hi
v12_gated,HEA,U(1),4,20,0.8707888964469246,0.03981925190257761,0.854516847720872,0.8879519528975045,0.6381975030035324,0.01612521655609222,0.6315845514897651,0.6449669147071736,0.3196541584122426,0.01734112208685004,0.31263101270066057,0.3273073084317005,0.9567408475948224,0.027098191942632226,0.9446659447940742,0.9673737905154682,0.08077535287901784,0.028225657187761672,0.07007361246714375,0.09253558032561525,0.7604375567909473,0.0,0.7604375567909473,0.7604375567909473,0.0912870929175109,0.0,0.0912870929175109,0.0912870929175109,0.5869733526638381,0.02321655753157643,0.5771872104230481,0.5973277264605107
v12_gated,HEA,U(1),6,20,0.8194282793358922,0.02472253803016488,0.8086382933129248,0.8299512418380443,0.6042673321257453,0.004102662969721248,0.6024843109676916,0.6060902553135524,0.20853466425149053,0.008205325939442499,0.2051056442852228,0.21194913271540192,1.0,0.0,1.0,1.0,0.03930738529955328,0.013465137539551987,0.03392600659403221,0.04528964697972648,0.9098358155223053,1.1390647892519134e-16,0.9098358155223053,0.9098358155223053,0.03149703941743345,7.119154932824459e-18,0.03149703941743345,0.03149703941743345,0.6697169573619068,0.016259008510188033,0.6626853036108157,0.6764413180282429
v12_gated,HEA,U(1),8,20,0.7947105892312025,0.016039798922460095,0.7878200140416243,0.8016041530560674,0.5755656542053255,0.0022826402553133944,0.574606796236891,0.576486182470008,0.15113130841065098,0.004565280510626773,0.1492104465911789,0.15311573861231986,1.0,0.0,1.0,1.0,0.031228488404419774,0.01801707656807674,0.023952494973697076,0.0393501816217618,0.9645588891638919,2.278129578503827e-16,0.9645588891638919,0.9645588891638919,0.012028130608116878,1.7797887332061147e-18,0.012028130608116878,0.012028130608116878,0.6865749144993555,0.010999909109096045,0.6815987254084117,0.6913367429493361
v12_gated,SU2_equiv,SU(2),4,20,0.4559117894238973,1.0806117409607187e-16,0.4559117894238972,0.4559117894238973,0.6616232382605333,1.9060199535990743e-16,0.6616232382605333,0.6616232382605333,0.3232464765210662,5.835970407351253e-17,0.32324647652106614,0.3232464765210662,1.0,0.0,1.0,1.0,0.0007765624231633064,6.751543415888235e-17,0.0007765624231632786,0.0007765624231633372,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5278222855257337,1.5700924586837752e-16,0.5278222855257336,0.5278222855257338
v12_gated,SU2_equiv,SU(2),6,20,0.47375634419644186,7.746478069274428e-17,0.47375634419644186,0.47375634419644197,0.6109362638326525,1.1390647892519134e-16,0.6109362638326525,0.6109362638326525,0.22187252766530524,4.027202183454268e-17,0.22187252766530524,0.2218725276653053,1.0,0.0,1.0,1.0,4.5625891943426796e-05,6.297884300788546e-17,4.5625891943401514e-05,4.562589194345501e-05,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5217639121801737,8.054404366908536e-17,0.5217639121801736,0.5217639121801737
v12_gated,SU2_equiv,SU(2),8,20,0.48673634807230914,7.9530870712594e-17,0.48673634807230914,0.48673634807230926,0.582438561905682,2.34824222025378e-16,0.5824385619056818,0.582438561905682,0.1648771238113635,4.547351505952009e-17,0.16487712381136346,0.1648771238113635,1.0,0.0,1.0,1.0,3.741116926918939e-07,7.742063586046222e-17,3.741116926590763e-07,3.7411169272487984e-07,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5202320773905497,1.3716156391149031e-16,0.5202320773905497,0.5202320773905497
v12_gated,Sn_equiv,S_n,4,20,0.8669307434067136,0.1121462360410517,0.8167000205769864,0.9115768569307169,0.6028657427545971,0.03079408985100681,0.5895028650139166,0.6157130303274443,0.27106272943131243,0.03695375748584081,0.25613426817266743,0.2865327067126027,0.9346687560778818,0.03761958403963657,0.918102365360529,0.9507600858277553,0.18680267957886293,0.07625435260252007,0.15396283765084237,0.21840083991126114,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7344643998582042,0.08000303708228947,0.701015018151162,0.7697562889588951
v12_gated,Sn_equiv,S_n,6,20,0.8788362940903578,0.10385719132676456,0.8334591379288915,0.9216718211544093,0.5931720006205857,0.015062138539210644,0.5868616680467935,0.599480344406157,0.1863440012411715,0.030124277078421316,0.1738971604647583,0.1993921590421254,1.0,0.0,1.0,1.0,0.15797224474359325,0.06785126758040792,0.13034634934094888,0.18744979654440408,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7444725688498114,0.07224864158195807,0.7130301277883887,0.7743991878472631
v12_gated,Sn_equiv,S_n,8,20,0.8818526785856708,0.10257755746608038,0.8353484695850159,0.9207324270456472,0.5698123896528355,0.012774122592166936,0.5642298502414635,0.5755856767182984,0.1396247793056712,0.025548245184333854,0.12898920698402405,0.15067012732574833,1.0,0.0,1.0,1.0,0.13915111448635425,0.05253710813372925,0.11652764283016666,0.16247189593983516,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.742247148350984,0.07030268016987098,0.7113102547989983,0.769926205912926
v12_gated,U1_broken,U(1),4,20,0.7093347433955598,0.02554923217384577,0.6980397091736936,0.7196886825803025,0.5887242193669617,0.011235872828287351,0.5837982701748485,0.5934524553367712,0.24043378254703893,0.011220968562104453,0.235987811029757,0.24536524122995448,0.9370146561868845,0.022866215546076048,0.927209873207813,0.9467462762404579,0.09363918034830751,0.028966999281478667,0.08166289117949593,0.10684370607647928,0.921031285207429,1.1390647892519134e-16,0.921031285207429,0.921031285207429,0.02742042485534894,0.0,0.02742042485534894,0.02742042485534894,0.5992137660872461,0.018577314131509134,0.5907458770487821,0.6066151257293096
