psi_g_formula_version,ansatz,n_seeds,expr_KL_mean,expr_KL_std,expr_KL_ci_lo,expr_KL_ci_hi,MW_mean_mean,MW_mean_std,MW_mean_ci_lo,MW_mean_ci_hi,grad_var_mean,grad_var_std,grad_var_ci_lo,grad_var_ci_hi
v12_gated,HEA,20,0.030624057342815165,0.008344524404212105,0.027295272754604593,0.03438154579378773,0.8375560517103088,0.007328741442714367,0.8345540076202296,0.840834261503512,0.08836900836242625,0.012709801754331576,0.08316745806609216,0.09324145672635006
v12_gated,SU2_equiv,20,5.404624605041453,0.3566302060975298,5.250020924398016,5.562250180282505,0.22012041542231095,0.009908125835988794,0.21602917855123752,0.22446560699776336,0.5300653492931292,0.10581288002331127,0.4879292986739101,0.5727061569876305
v12_gated,Sn_equiv,20,0.492166709223381,0.0676940119012222,0.4635771122237794,0.5216649667627303,0.5420147125329096,0.018231140763230756,0.5339495182622698,0.5498129403783195,0.35325205451690667,0.034855358209146835,0.33914972098554685,0.3682936782490192
v12_gated,U1_broken,20,0.02809560434485232,0.00831844723056969,0.02450671748173213,0.03156225511717236,0.708378800205926,0.009969335217023435,0.7042340695904327,0.7123910843407034,0.010026727175419175,0.002255689879661727,0.009031947041019993,0.011085051459916706
v12_gated,U1_equiv,20,0.03728811729793714,0.010546614328573655,0.03299196336498725,0.041885719006862956,0.6868827570274345,0.010254692062974458,0.6824491750009067,0.6912661934386061,0.00694079634605266,0.0015483705767077277,0.006319892800550052,0.007626936165093948
