psi_g_formula_version,ansatz,group,regime,n_seeds,H_G_mean,H_G_std,H_G_ci_lo,H_G_ci_hi,D_G_mean,D_G_std,D_G_ci_lo,D_G_ci_hi,D_inter_mean,D_inter_std,D_inter_ci_lo,D_inter_ci_hi,D_mult_mean,D_mult_std,D_mult_ci_lo,D_mult_ci_hi,M_G_mean,M_G_std,M_G_ci_lo,M_G_ci_hi,S_G_mean,S_G_std,S_G_ci_lo,S_G_ci_hi,defect_mean,defect_std,defect_ci_lo,defect_ci_hi,Psi_G_mean,Psi_G_std,Psi_G_ci_lo,Psi_G_ci_hi
v12_gated,HEA,SU(2),A_confined,20,0.8372898635112577,0.029772186913630486,0.824786178893691,0.8498575530656418,0.707460668573778,0.00688717030279957,0.704484576193399,0.7102868928590902,0.41492133714755586,0.013774340605599155,0.4087148596758755,0.42061535822891255,1.0,0.0,1.0,1.0,0.04521132353173467,0.021172819082144828,0.03687253204872396,0.054566041743403126,0.7788007830714304,0.0,0.7788007830714304,0.7788007830714304,0.08333333333332238,0.0,0.08333333333332238,0.08333333333332238,0.609302957398534,0.016457068242653833,0.6024716580316798,0.6163737622545313
v12_gated,HEA,SU(2),B_multi,20,0.8397202487919845,0.025081530796324043,0.8291854809710256,0.8506983538773323,0.7078501435970678,0.0058726823050277615,0.7053519785944365,0.710384876511699,0.4157002871941355,0.011745364610055495,0.4107068838419469,0.42075434283622826,1.0,0.0,1.0,1.0,0.04796366613818363,0.016331827404466318,0.04140253582076053,0.05525127702252252,0.7788007830714304,0.0,0.7788007830714304,0.7788007830714304,0.08333333333332238,0.0,0.08333333333332238,0.08333333333332238,0.6101683609958074,0.013612821512400109,0.6044873492315695,0.6157097400013813
v12_gated,HEA,S_n,A_confined,20,0.8100549226164269,0.032442009237483374,0.7959475384676533,0.8242195911916119,0.6033872282195368,0.005543239559834157,0.6008058546521508,0.6056288879132324,0.20677445643907352,0.011086479119668329,0.20173484096909933,0.21137962126208604,1.0,0.0,1.0,1.0,0.040042823161974286,0.01990107876254605,0.032381992056497555,0.04882135644695377,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7297170754749442,0.025361835896413602,0.7190463302312295,0.7403910612965052
v12_gated,HEA,S_n,B_multi,20,0.8194282793358922,0.02472253803016488,0.8089668942458514,0.8296975661894977,0.6042673321257453,0.004102662969721248,0.6024850691176854,0.6059341173587202,0.20853466425149053,0.008205325939442499,0.20486176828780409,0.21187228513952183,1.0,0.0,1.0,1.0,0.03930738529955328,0.013465137539551987,0.03407867094287803,0.045730082751890284,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7360855067872281,0.017870266517101538,0.7283498505682119,0.7439444997699336
v12_gated,HEA,U(1),A_confined,20,0.8100549226164269,0.032442009237483374,0.7961233177334247,0.8235037512663314,0.6033872282195368,0.005543239559834157,0.6008913206513616,0.6056753502423073,0.20677445643907352,0.011086479119668329,0.20185786209578568,0.2111555130839213,1.0,0.0,1.0,1.0,0.040042823161974286,0.01990107876254605,0.03198320528219135,0.048815024161884914,0.9098358155223053,1.1390647892519134e-16,0.9098358155223053,0.9098358155223053,0.03149703941743345,7.119154932824459e-18,0.03149703941743345,0.03149703941743345,0.6639227304652976,0.023075106645956342,0.6534632690694161,0.6733477891970743
v12_gated,HEA,U(1),B_multi,20,0.8194282793358922,0.02472253803016488,0.8086418148375535,0.8293025193464897,0.6042673321257453,0.004102662969721248,0.6024653648872047,0.606021652050055,0.20853466425149053,0.008205325939442499,0.20496898498629096,0.21189954755997972,1.0,0.0,1.0,1.0,0.03930738529955328,0.013465137539551987,0.033941924370140195,0.04508616853212034,0.9098358155223053,1.1390647892519134e-16,0.9098358155223053,0.9098358155223053,0.03149703941743345,7.119154932824459e-18,0.03149703941743345,0.03149703941743345,0.6697169573619068,0.016259008510188033,0.662736103507257,0.6765531518621878
v12_gated,SU2_equiv,SU(2),A_confined,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v12_gated,SU2_equiv,SU(2),B_multi,20,0.47375634419644186,7.746478069274428e-17,0.47375634419644186,0.47375634419644197,0.6109362638326525,1.1390647892519134e-16,0.6109362638326525,0.6109362638326525,0.22187252766530524,4.027202183454268e-17,0.22187252766530524,0.2218725276653053,1.0,0.0,1.0,1.0,4.5625891943426796e-05,6.297884300788546e-17,4.5625891943401846e-05,4.562589194345653e-05,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5217639121801737,8.054404366908536e-17,0.5217639121801737,0.5217639121801737
v12_gated,SU2_equiv,S_n,A_confined,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7362495038917184,0.0,0.7362495038917184,0.7362495038917184,0.10206207261594999,0.0,0.10206207261594999,0.10206207261594999,0.0,0.0,0.0,0.0
v12_gated,SU2_equiv,S_n,B_multi,20,0.6348819291190606,1.1102230246251565e-16,0.6348819291190606,0.6348819291190607,0.5687897653277064,1.1390647892519134e-16,0.5687897653277064,0.5687897653277064,0.13757953065541306,2.1118826416884955e-17,0.13757953065541306,0.13757953065541306,1.0,0.0,1.0,1.0,2.9740873228942585e-05,2.0811447598052937e-17,2.974087322893393e-05,2.9740873228951255e-05,0.7362495038917184,0.0,0.7362495038917184,0.7362495038917184,0.10206207261594999,0.0,0.10206207261594999,0.10206207261594999,0.4503969169075594,1.1175032536123776e-16,0.4503969169075594,0.4503969169075595
