psi_g_formula_version,ansatz,Psi_G,H_G,D_G,M_G,S_G,natural_group,n,L,expr_KL,MW_mean,MW_std,grad_var
v12_gated,HEA,0.6797105854320113,0.8297160458670021,0.6056258805254888,0.02032015942761242,0.9098358155223052,U(1),6,2,0.038424817588550764,0.833346008249204,0.10131273604814207,0.09606053272859452
v12_gated,U1_equiv,0.6117449513063444,0.6348819291190607,0.5687897653277065,2.9740873228959783e-05,1.0,U(1),6,2,0.03809705609309629,0.7018583114855801,0.15297275599312207,0.007260295834649622
v12_gated,SU2_equiv,0.5217639121801737,0.47375634419644186,0.6109362638326526,4.5625891943411834e-05,1.0,SU(2),6,2,5.98029003326309,0.20965624528840188,0.1393831588636442,0.5299867406891778
v12_gated,Sn_equiv,0.8492842716794973,0.9893687534187745,0.6276563861498019,0.054520230797824185,1.0,S_n,6,2,0.6563136495033286,0.5525165518817071,0.2522553880021679,0.32466452425221654
v12_gated,U1_broken,0.6020443375185821,0.677892189844326,0.576101571130787,0.13505746538279467,0.9720161725610506,U(1),6,2,0.027923798011084317,0.7206512838805389,0.14859424288237078,0.012295820621628654
