psi_g_formula_version,ansatz,seed,expr_KL,MW_mean,grad_var
v12_gated,HEA,0,0.03328783511084541,0.8511005137438675,0.10658449958666412
v12_gated,U1_equiv,0,0.031193180704608935,0.6845931323855008,0.0068450605956876815
v12_gated,SU2_equiv,0,4.982255047389749,0.21928604043964925,0.4832780105540514
v12_gated,Sn_equiv,0,0.39766298756385066,0.527116370761103,0.34373145679610284
v12_gated,U1_broken,0,0.03629647701156874,0.7061444841989748,0.008378853254399939
v12_gated,HEA,1,0.02833116982862651,0.8434134983137023,0.07882555844675607
v12_gated,U1_equiv,1,0.05805932323034623,0.6853455561182691,0.00830278526002839
v12_gated,SU2_equiv,1,5.472359263394275,0.21466430430656416,0.3902769996597881
v12_gated,Sn_equiv,1,0.4363233488645861,0.5563301732744275,0.3741252414022308
v12_gated,U1_broken,1,0.028390284817796395,0.7038705008078507,0.011494617301995197
v12_gated,HEA,2,0.04201213506448137,0.8354265744382396,0.10770979366008171
v12_gated,U1_equiv,2,0.04041748275281169,0.6866770081713581,0.006069121611789895
v12_gated,SU2_equiv,2,4.945264050721994,0.23691956936111708,0.5520859285073159
v12_gated,Sn_equiv,2,0.5409738385228118,0.5220484980291932,0.4417322245400947
v12_gated,U1_broken,2,0.03421215562619745,0.7045730134815154,0.007492064194996126
v12_gated,HEA,3,0.022441326149921184,0.830471730698799,0.08501375877539906
v12_gated,U1_equiv,3,0.0325575768360978,0.696372623726511,0.005682596978841525
v12_gated,SU2_equiv,3,5.769941435324267,0.2205742872781947,0.5772525471379509
v12_gated,Sn_equiv,3,0.49782431077847994,0.5196796875990941,0.33162942691180153
v12_gated,U1_broken,3,0.027279850146776422,0.7198423297983819,0.010017344435721392
v12_gated,HEA,4,0.040426570988357516,0.8225044854930296,0.0719165721754504
v12_gated,U1_equiv,4,0.043023129869888585,0.6948670583825354,0.0069367366772420044
v12_gated,SU2_equiv,4,5.676558573221517,0.21869873367244527,0.6537908257136551
v12_gated,Sn_equiv,4,0.4000279095036745,0.5517867888508419,0.3060677101169868
v12_gated,U1_broken,4,0.03892620843289057,0.7124426576904835,0.013043289263467112
v12_gated,HEA,5,0.028365640897575116,0.8492896502503274,0.09253755138414098
v12_gated,U1_equiv,5,0.046675232998402955,0.687827907703907,0.006081745523950457
v12_gated,SU2_equiv,5,5.629729208759027,0.22335572504361004,0.6203401254610872
v12_gated,Sn_equiv,5,0.425086997680092,0.5506581184502898,0.37075697683732906
v12_gated,U1_broken,5,0.036754909391997756,0.7111085188327664,0.00943606685205276
v12_gated,HEA,6,0.026167115902867594,0.8377199822387772,0.10392122687779264
v12_gated,U1_equiv,6,0.033825778059717676,0.69418380472323,0.011144890709311805
v12_gated,SU2_equiv,6,5.763173280860071,0.21303606663293528,0.429991068932304
v12_gated,Sn_equiv,6,0.5296669574834685,0.5054810128463988,0.38963971056125607
v12_gated,U1_broken,6,0.01610684415332404,0.7141745578898039,0.011285440052140338
v12_gated,HEA,7,0.038424817588550764,0.833346008249204,0.09606053272859452
v12_gated,U1_equiv,7,0.03809705609309629,0.7018583114855801,0.007260295834649622
v12_gated,SU2_equiv,7,5.98029003326309,0.20965624528840188,0.5299867406891778
v12_gated,Sn_equiv,7,0.6563136495033286,0.5525165518817071,0.32466452425221654
v12_gated,U1_broken,7,0.027923798011084317,0.7206512838805389,0.012295820621628654
