psi_g_formula_version,w_H,w_D,w_M,gamma,kendall_tau_vs_convention,top_ansatz,score_HEA,score_SU2_equiv,score_Sn_equiv,score_U1_broken,score_U1_equiv
v12_gated,0.4538413636995515,0.48737209177623336,0.05878654452421499,3.0,1.0,Sn_equiv,0.6484139174112477,0.5406127378754059,0.7314500514455514,0.6173009862159847,0.6026693429978698
v12_gated,0.2780912776514003,0.48106663135552985,0.24084209099306986,3.0,1.0,Sn_equiv,0.6443130650119766,0.5397438200898069,0.7079762076591863,0.6097603399987692,0.6030826469583291
v12_gated,0.2179250724064818,0.6217051234412689,0.16036980415224922,3.0,1.0,Sn_equiv,0.6191397892084619,0.5590383365850904,0.6789729199589278,0.5976222136979125,0.5937890641771602
v12_gated,0.1053462845653869,0.666823307222867,0.22783040821174605,3.0,0.8,Sn_equiv,0.6083304401370698,0.5652261872119326,0.6567185926789489,0.5895021276420095,0.5908058319974199
v12_gated,0.29626714204694915,0.28386809879665564,0.4198647591563953,3.0,1.0,Sn_equiv,0.6776705370547377,0.5126882715665346,0.7394547582323002,0.6237812953749853,0.6161125443758146
v12_gated,0.23943055445109368,0.3564197996444883,0.404149645904418,3.0,1.0,Sn_equiv,0.6639282718748383,0.5226412477492174,0.7209110844202666,0.6163507163925049,0.6113177422119105
v12_gated,0.16024969448898835,0.20262405116685556,0.637126254344156,3.0,1.0,Sn_equiv,0.6872080220612349,0.5015385234137926,0.7325004898203215,0.6230560483135483,0.6214780369596742
v12_gated,0.16972628433207113,0.07958306438171142,0.7506906512862174,3.0,1.0,Sn_equiv,0.7079666116460472,0.48465731597709105,0.7518825633056244,0.631719891580544,0.6296079376948615
v12_gated,0.11562385797332597,0.5556986681488205,0.3286774738778535,3.0,0.8,Sn_equiv,0.6271289588493465,0.5499799382887802,0.6744621603710281,0.5974047617693207,0.5981483956558142
v12_gated,0.5372760234360309,0.1076277196218748,0.3550962569420943,3.0,1.0,Sn_equiv,0.7140696228261335,0.48851303052185435,0.7987922656282922,0.6464954359150207,0.6277618753380495
v12_gated,0.31915762471935294,0.31274808878379856,0.36809428649684844,3.0,1.0,Sn_equiv,0.6735341134929437,0.5166511453196042,0.738392161207924,0.6228855981347359,0.6142047808744038
v12_gated,0.21287234881996128,0.5797693045365295,0.2073583466435091,3.0,1.0,Sn_equiv,0.6259721731997854,0.5532845686343989,0.6844289848227646,0.6001998375543859,0.5965598059539573
v12_gated,0.4929550926005765,0.21172809497557749,0.29531681242384594,3.0,1.0,Sn_equiv,0.6954426775668057,0.5027948038128913,0.7773537898795443,0.6375205105369635,0.6208827850314933
v12_gated,0.23324960571726647,0.3164882597068691,0.4502621345758644,3.0,1.0,Sn_equiv,0.670393969074866,0.5171624455625543,0.7259162224270574,0.6187430882767412,0.6139560333965273
v12_gated,0.30958969012595355,0.17629137824458588,0.5141189316294607,3.0,1.0,Sn_equiv,0.6959677187923514,0.49792886833015304,0.7571001151342408,0.6315844432584441,0.6232207429087695
v12_gated,0.500820874740068,0.39033230921243434,0.10884681604749766,3.0,1.0,Sn_equiv,0.6659434975723824,0.5272997462211977,0.752220897662541,0.6259238341722181,0.6090819669661618
v12_gated,0.4205713922854896,0.4321964952755617,0.14723211243894851,3.0,1.0,Sn_equiv,0.656623219251203,0.533041842181458,0.7349326969585608,0.619486251916837,0.6063143475349084
v12_gated,0.00906590285176371,0.1562445970416112,0.8346895001066251,3.0,0.8,Sn_equiv,0.6904976403566422,0.49517192318476383,0.7183213942225668,0.6193103605278294,0.6245396250603342
v12_gated,0.32007953460838273,0.4583520363350515,0.22156842905656565,3.0,1.0,Sn_equiv,0.6493245229293093,0.536628250381243,0.7171407524612178,0.6131828542345469,0.6045842676170623
v12_gated,0.28365013126435146,0.3553274487873563,0.36102241994829226,3.0,1.0,Sn_equiv,0.6654059737203143,0.5224923313653793,0.7272105579692273,0.6184272601467047,0.6113907523694985
v12_gated,0.42917380089283147,0.41151607342925545,0.1593101256779131,3.0,1.0,Sn_equiv,0.6603176907227833,0.5302046425015702,0.7391635434343923,0.6212600304811988,0.6076809333064919
v12_gated,0.27516868062332694,0.41374186282795655,0.3110894565487165,3.0,1.0,Sn_equiv,0.6554340087552117,0.5305066953178202,0.7174559259528243,0.6141336225615223,0.6075309601803185
v12_gated,0.28371160384304245,0.03198345715167485,0.6843049390052828,3.0,1.0,Sn_equiv,0.7192302268220332,0.47812904064662554,0.7746965155635716,0.6400697715198481,0.6327551522235465
v12_gated,0.2750532697659887,0.5542935288856836,0.1706532013483277,3.0,1.0,Sn_equiv,0.6320350001292757,0.5497905971800608,0.696802343541475,0.6047220040307489,0.5982442481554449
v12_gated,0.3767898670476029,0.5448713440096935,0.07833878894270359,3.0,1.0,Sn_equiv,0.6365848115068634,0.5485000580433046,0.7123100960258821,0.6099619204045236,0.5988687238170116
v12_gated,0.10410842786130167,0.27112887365743654,0.6247626984812616,3.0,0.8,Sn_equiv,0.6741597595470992,0.5109362767028746,0.7146475621037632,0.6159278084090312,0.6169506384590857
v12_gated,0.1416902416654823,0.5914760636025842,0.2668336947319336,3.0,1.0,Sn_equiv,0.6219374939601864,0.5548892153095775,0.6728277155758646,0.5961913464274261,0.595784957906167
v12_gated,0.48748072231977796,0.07222691246777509,0.44029236521244686,3.0,1.0,Sn_equiv,0.7185030162615926,0.4836549090801684,0.7970770880575411,0.6466085717405744,0.6300999826147669
v12_gated,0.2023528988121733,0.4442016713956144,0.3534454297922124,3.0,1.0,Sn_equiv,0.6482299019247691,0.5346842538613641,0.7028742927037073,0.608796071444226,0.6055170057603403
v12_gated,0.7440659109436143,0.07774357681254736,0.17819051224383814,3.0,1.0,Sn_equiv,0.725104075893336,0.4844173501288639,0.8318892309008294,0.6578643711319271,0.62974032332355
v12_gated,0.17529060250016362,0.2688467575563939,0.5558626399434425,3.0,1.0,Sn_equiv,0.6766256551887677,0.5106247055125909,0.7248649963477092,0.6193055604144476,0.6171027694172029
v12_gated,0.15837280643103926,0.48843083188439956,0.3531963616845612,3.0,1.0,Sn_equiv,0.6395788502773223,0.5407516119265383,0.6902741793812138,0.6038434563186647,0.6025938095438512
v12_gated,0.771674092568904,0.1360188967142309,0.09230701071686506,3.0,1.0,Sn_equiv,0.7162128862164086,0.49241341024936813,0.8271654089524285,0.655215140706229,0.6258904029829923
v12_gated,0.5006761415680335,0.07778951241740943,0.421534346014557,3.0,1.0,Sn_equiv,0.7179637872388881,0.4844183915592377,0.7980922603574049,0.646834135451462,0.6297326925356386
